2022-05-19 12:05:425 INFO  NewAndUsedCarPage :43 - Select car makes :Nissan
2022-05-19 12:05:516 INFO  NewAndUsedCarPage :48 - Select car models :Cube
2022-05-19 12:05:632 INFO  NewAndUsedCarPage :54 - Select car locations :WA - All
2022-05-19 12:05:727 INFO  NewAndUsedCarPage :59 - Select car price :$20,000
2022-05-19 12:05:667 INFO  NewAndUsedCarPage :64 - Clicking on find my next car tab :[[ChromeDriver: chrome on WINDOWS (4fc79fcc4d679acdea5802ff551a904a)] -> xpath: //input[@id='search-submit']]
2022-05-19 12:05:828 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 12:05:478 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (90cde0300671fb684a065e578bf62b79)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 12:05:335 INFO  HomePage :38 - Clicking on used link :[[ChromeDriver: chrome on WINDOWS (90cde0300671fb684a065e578bf62b79)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
2022-05-19 12:05:352 INFO  UsedCarPage :21 - Get usedCarText :[[ChromeDriver: chrome on WINDOWS (90cde0300671fb684a065e578bf62b79)] -> xpath: //h1[contains(text(),'Used Cars For Sale')]]
2022-05-19 12:05:450 INFO  NewAndUsedCarPage :43 - Select car makes :Mazda
2022-05-19 12:05:859 INFO  NewAndUsedCarPage :48 - Select car models :CX-5
2022-05-19 12:05:954 INFO  NewAndUsedCarPage :54 - Select car locations :NSW - All
2022-05-19 12:05:41 INFO  NewAndUsedCarPage :59 - Select car price :$10,000
2022-05-19 12:05:373 INFO  NewAndUsedCarPage :64 - Clicking on find my next car tab :[[ChromeDriver: chrome on WINDOWS (90cde0300671fb684a065e578bf62b79)] -> xpath: //input[@id='search-submit']]
2022-05-19 13:05:452 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 13:05:143 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (f372518b74e478433b4f4c54fc926f13)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 13:05:751 INFO  HomePage :34 - Clicking on search car :[[ChromeDriver: chrome on WINDOWS (f372518b74e478433b4f4c54fc926f13)] -> xpath: //a[@data-gtm-label='sub nav search cars']]
2022-05-19 13:05:929 INFO  NewAndUsedCarPage :38 - Get new and used car text :[[ChromeDriver: chrome on WINDOWS (f372518b74e478433b4f4c54fc926f13)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 13:05:121 INFO  NewAndUsedCarPage :43 - Select car makes :Audi
2022-05-19 13:05:247 INFO  NewAndUsedCarPage :48 - Select car models :A1
